seed,baseline,ident,a,b,c,ab,ac,bc,pace,pcar_only,full,pcar_noident
42,0.8020,0.7743,0.8042,0.7933,0.7839,0.8009,0.7908,0.8019,0.8160,0.7803,0.8220,0.7993
123,0.7976,0.7886,0.7874,0.7662,0.7838,0.7686,0.7850,0.7836,0.7709,0.7762,0.7945,0.7912
2024,0.8064,0.7903,0.7903,0.7861,0.7825,0.7845,0.8023,0.7838,0.8027,0.7990,0.8035,0.8027
mean,0.8020,0.7844,0.7940,0.7819,0.7834,0.7847,0.7927,0.7898,0.7965,0.7852,0.8067,0.7977
std,0.0044,0.0088,0.0090,0.0140,0.0008,0.0161,0.0088,0.0105,0.0231,0.0122,0.0141,0.0059
ci95_half,0.0109,0.0218,0.0224,0.0349,0.0020,0.0401,0.0219,0.0260,0.0575,0.0303,0.0349,0.0147
